Original comparison,Species,Protein Name,"seq coverage 0,5fmol/µg","seq coverage 5fmol/µg","seq coverage 12,5fmol/µg","seq coverage 25fmol/µg","seq coverage50fmol/µg","shared peptides, 0.5fmol/µg","shared peptides, 5fmol/µg","shared peptides, 12.5fmol/µg","shared peptide, 25fmol/µg","shared peptide, 50fmol/µg","discriminant peptides, 0.5fmol/µg","discriminant peptides, 5fmol/µg","discriminant peptides, 12.5fmol/µg","discriminant peptides, 25fmol/µg","discriminant peptides, 50fmol/µg",Mol. weight [kDa],Protein description,A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank,,,
50Vs0.5,Yeast,sp|Q06151,16%,16%,15%,15%,16%,0,0,0,0,0,4,4,4,4,4,40771.6, m7GpppX diphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DCS1 PE=1 SV=1,1.17E+09,1.02E+09,9.64E+08,1.25E+09,1.24E+09,1.35E+09,30.12,29.92,29.84,30.22,30.21,30.33,1.07354,0.08442,0.36128,-0.28907,-0.36221,0.36221,0,0,0,612,,,
25Vs12.5,Yeast,sp|P50861,26%,13%,8%,9%,18%,0,0,0,0,0,3,2,1,1,3,18555.7," 6,7-dimethyl-8-ribityllumazine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIB4 PE=1 SV=2",2.15E+09,2.55E+09,2.42E+09,2.06E+09,1.98E+09,1.90E+09,31.00,31.25,31.17,30.94,30.89,30.82,1.07118,0.08488,0.36207,0.25843,0.14691,0.14691,0,0,0,614,,,
50Vs5,Yeast,sp|Q12091,0%,0%,18%,13%,15%,0,0,0,0,0,0,0,1,1,1,16758.2, Damage response protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAP1 PE=1 SV=1,4.00E+08,4.21E+08,3.59E+08,3.37E+08,2.97E+08,3.33E+08,28.57,28.65,28.42,28.33,28.14,28.31,1.07066,0.08498,0.36191,0.28767,0.12271,0.12271,0,0,0,615,,,
50Vs5,Yeast,sp|P17076,41%,43%,43%,43%,41%,8,8,8,8,8,0,1,0,1,0,28125.5, 60S ribosomal protein L8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8A PE=1 SV=4,1.73E+10,1.60E+10,1.61E+10,1.53E+10,1.48E+10,1.40E+10,34.01,33.90,33.91,33.83,33.79,33.71,1.07041,0.08503,0.36153,0.16333,0.00038,0.00038,0,0,0,616,,,
50Vs5,Yeast,sp|Q12363,27%,21%,15%,22%,18%,0,0,0,0,0,7,6,4,6,5,48383.6, Transcriptional modulator WTM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WTM1 PE=1 SV=1,6.63E+09,6.32E+09,6.43E+09,5.74E+09,5.70E+09,4.89E+09,32.63,32.56,32.58,32.42,32.41,32.19,1.07021,0.08507,0.36111,0.25033,0.08598,0.08598,0,0,0,617,,,
50Vs5,Yeast,sp|P60010,46%,46%,47%,41%,45%,0,0,0,0,0,11,10,11,9,11,41690.4, Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACT1 PE=1 SV=1,2.83E+10,2.70E+10,2.68E+10,2.24E+10,2.54E+10,2.42E+10,34.72,34.65,34.64,34.38,34.57,34.50,1.06892,0.08533,0.36160,0.19130,0.02790,0.02790,0,0,0,618,,,
50Vs5,Yeast,sp|A6ZXP4,8%,13%,14%,13%,10%,0,0,0,0,0,2,3,4,3,2,50280.1, ATP-dependent RNA helicase SUB2 OS=Saccharomyces cerevisiae (strain YJM789) GN=SUB2 PE=3 SV=1,1.62E+09,1.25E+09,1.53E+09,1.19E+09,1.06E+09,1.03E+09,30.60,30.22,30.52,30.15,29.98,29.94,1.06821,0.08547,0.36161,0.42103,0.25394,0.25394,0,0,0,619,,,
50Vs0.5,Yeast,sp|P32324,49%,50%,51%,51%,53%,0,0,0,0,0,30,30,30,31,32,93290.3, Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1,8.82E+10,8.46E+10,8.41E+10,7.84E+10,7.86E+10,7.06E+10,36.36,36.30,36.29,36.19,36.19,36.04,1.06304,0.08649,0.36535,0.17657,0.06434,0.06434,0,0,0,620,,,
50Vs5,Yeast,sp|P04802,19%,15%,17%,16%,22%,0,0,0,0,0,7,6,6,6,8,63517.8," Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPS1 PE=1 SV=3",1.33E+10,1.25E+10,1.24E+10,1.14E+10,1.21E+10,1.15E+10,33.63,33.54,33.53,33.41,33.49,33.42,1.06241,0.08661,0.36529,0.12770,-0.03468,0.03468,0,0,0,621,,,
50Vs5,Yeast,sp|P39103,0%,14%,14%,14%,0%,0,0,0,0,0,0,1,1,1,0,7959.1, Cytochrome c oxidase assembly protein COX14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX14 PE=1 SV=1,1.11E+06,5.17E+04,3.04E+04,2.52E+06,6.96E+06,6.33E+06,20.08,15.66,14.89,21.26,22.73,22.59,1.05878,0.08734,0.36776,-5.31970,-5.39457,5.39457,0,0,0,622,,,
50Vs5,Yeast,"sp|P0CX80,sp|P0CX81",34%,31%,31%,31%,31%,0,0,0,0,0,1,1,1,1,1,6649.9, Copper metallothionein 1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP1-1 PE=1 SV=1,6.39E+08,5.86E+08,5.76E+08,7.13E+08,6.82E+08,6.53E+08,29.25,29.13,29.10,29.41,29.35,29.28,1.05825,0.08745,0.36762,-0.18580,-0.34315,0.34315,0,0,0,623,,,
50Vs5,Yeast,"sp|P0C0W9,sp|Q3E757",15%,20%,16%,20%,18%,0,0,0,0,0,2,3,2,3,2,19750.0, 60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11A PE=1 SV=2,9.07E+09,8.88E+09,1.01E+10,4.36E+09,4.65E+09,7.53E+09,33.08,33.05,33.24,32.02,32.11,32.81,1.05657,0.08779,0.36845,0.80470,0.63144,0.63144,0,0,0,624,,,
50Vs5,Yeast,sp|P01095,0%,23%,0%,0%,0%,0,0,0,0,0,0,1,0,0,0,8589.8, Protease B inhibitors 2 and 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBI2 PE=1 SV=3,1.55E+08,1.77E+08,2.66E+08,1.86E+07,2.04E+07,9.71E+07,27.20,27.40,27.99,24.15,24.28,26.53,1.05589,0.08792,0.36844,2.54240,2.34122,2.34122,0,0,0,625,,,
25Vs12.5,Yeast,sp|P38972,3%,3%,2%,2%,2%,0,0,0,0,0,3,3,2,2,2,148909.2, Phosphoribosylformylglycinamidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE6 PE=1 SV=2,7.37E+08,8.70E+08,7.72E+08,6.62E+08,6.68E+08,5.68E+08,29.46,29.70,29.52,29.30,29.31,29.08,1.05437,0.08823,0.36914,0.32607,0.27383,0.27383,0,0,0,626,,,
50Vs0.5,Yeast,"sp|Q03964,sp|Q04214,sp|Q04215,sp|Q12266,sp|Q12490",0%,1%,0%,0%,0%,0,0,0,0,0,0,1,0,0,0,198906.4, Transposon Ty1-MR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-MR1 PE=1 SV=2,1.07E+09,2.20E+08,1.04E+09,9.27E+07,1.62E+08,8.40E+07,29.99,27.71,29.96,26.47,27.27,26.32,1.05274,0.08856,0.36994,2.53380,2.22370,2.22370,0,0,0,627,,,
50Vs0.5,Yeast,sp|P26785,15%,15%,17%,14%,14%,0,0,1,0,0,3,3,3,3,3,22249.9, 60S ribosomal protein L16-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16B PE=1 SV=3,4.23E+09,3.93E+09,3.99E+09,3.67E+09,3.65E+09,3.84E+09,31.98,31.87,31.89,31.77,31.76,31.84,1.05260,0.08859,0.36947,0.12343,0.01567,0.01567,0,0,0,628,,,
50Vs5,Yeast,sp|P41056,17%,20%,26%,17%,26%,0,1,1,0,1,1,1,1,1,1,12168.2, 60S ribosomal protein L33-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL33B PE=1 SV=2,2.83E+09,3.39E+09,3.49E+09,2.57E+09,2.68E+09,2.60E+09,31.40,31.66,31.70,31.26,31.32,31.27,1.04901,0.08933,0.37194,0.30210,0.13692,0.13692,0,0,0,629,,,
50Vs0.5,Yeast,sp|Q02326,28%,25%,22%,24%,25%,3,3,2,3,3,1,1,1,1,1,19962.1, 60S ribosomal protein L6-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6A PE=1 SV=2,1.21E+10,1.22E+10,1.22E+10,7.59E+09,9.08E+09,4.97E+09,33.50,33.51,33.51,32.82,33.08,32.21,1.04661,0.08982,0.37341,0.80250,0.63773,0.63773,0,0,0,630,,,
50Vs5,Yeast,sp|P20459,9%,6%,9%,7%,8%,0,0,0,0,0,2,1,2,1,2,34718.7, Eukaryotic translation initiation factor 2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI2 PE=1 SV=1,2.09E+09,2.15E+09,1.95E+09,1.91E+09,1.88E+09,1.82E+09,30.96,31.00,30.86,30.83,30.81,30.76,1.04357,0.09045,0.37484,0.14113,-0.02147,0.02147,0,0,0,632,,,
50Vs5,Yeast,sp|P18544,4%,4%,4%,4%,4%,0,0,0,0,0,1,1,1,1,1,46682.7," Acetylornithine aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG8 PE=1 SV=1",9.11E+07,9.34E+07,9.17E+07,7.17E+07,8.62E+07,7.53E+07,26.44,26.48,26.45,26.09,26.36,26.17,1.04224,0.09073,0.37540,0.24880,0.08447,0.08447,0,0,0,633,,,
25Vs12.5,Yeast,sp|P14747,3%,2%,2%,3%,5%,0,0,0,0,0,1,1,1,1,2,68529.9, Serine/threonine-protein phosphatase 2B catalytic subunit A2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMP2 PE=1 SV=2,5.44E+07,9.06E+07,6.48E+07,3.61E+07,3.47E+07,4.79E+07,25.70,26.43,25.95,25.11,25.05,25.51,1.04213,0.09075,0.37490,0.80513,1.17285,1.17285,0,0,0,634,,,
50Vs0.5,Yeast,sp|P07284,30%,27%,26%,24%,27%,0,0,0,0,0,8,7,8,7,8,53311.0," Serine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SES1 PE=1 SV=2",4.32E+09,4.38E+09,4.45E+09,4.17E+09,4.16E+09,3.91E+09,32.01,32.03,32.05,31.96,31.96,31.86,1.04181,0.09082,0.37459,0.10310,-0.00296,0.00296,0,0,0,635,,,
50Vs5,Yeast,sp|P00899,6%,9%,7%,7%,5%,0,0,0,0,0,2,3,2,3,2,56769.5, Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP2 PE=1 SV=4,1.31E+09,1.26E+09,1.07E+09,6.98E+08,7.02E+08,1.01E+09,30.28,30.24,30.00,29.38,29.39,29.92,1.04111,0.09097,0.37460,0.61247,0.44230,0.44230,0,0,0,636,,,
50Vs0.5,Yeast,sp|P50861,26%,13%,8%,9%,18%,0,0,0,0,0,3,2,1,1,3,18555.7," 6,7-dimethyl-8-ribityllumazine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIB4 PE=1 SV=2",3.84E+09,3.66E+09,3.62E+09,3.14E+09,2.08E+09,2.59E+09,31.84,31.77,31.75,31.55,30.95,31.27,1.03781,0.09166,0.37687,0.53063,0.38868,0.38868,0,0,0,637,,,
50Vs0.5,Yeast,"sp|A6ZKM4,sp|P38182",15%,15%,15%,15%,15%,0,0,0,0,0,1,1,1,1,1,13627.6, Autophagy-related protein 8 OS=Saccharomyces cerevisiae (strain YJM789) GN=ATG8 PE=3 SV=1,2.82E+08,2.85E+08,2.81E+08,2.64E+08,2.77E+08,2.70E+08,28.07,28.09,28.07,27.98,28.05,28.01,1.03288,0.09271,0.37997,0.06450,-0.03832,0.03832,0,0,0,639,,,
50Vs5,Yeast,sp|Q08412,3%,3%,3%,3%,3%,0,0,0,0,0,1,1,1,1,1,46869.9, Ubiquitin-binding protein CUE5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUE5 PE=1 SV=1,1.47E+08,1.73E+08,1.66E+08,1.42E+08,1.36E+08,1.38E+08,27.13,27.36,27.31,27.08,27.02,27.04,1.03122,0.09306,0.38083,0.22253,0.05863,0.05863,0,0,0,640,,,
50Vs5,Yeast,sp|P29453,41%,40%,43%,45%,44%,8,8,8,8,8,1,1,1,2,1,28112.8, 60S ribosomal protein L8-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8B PE=1 SV=3,1.92E+10,1.72E+10,1.73E+10,1.59E+10,1.63E+10,1.55E+10,34.16,34.00,34.01,33.88,33.92,33.85,1.03084,0.09315,0.38057,0.17307,0.00996,0.00996,0,0,0,641,,,
50Vs5,Yeast,"sp|P0CX47,sp|P0CX48",22%,24%,19%,27%,29%,0,0,0,0,0,3,3,3,5,4,17748.8, 40S ribosomal protein S11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS11A PE=1 SV=1,8.98E+09,8.65E+09,8.52E+09,9.54E+09,9.43E+09,9.04E+09,33.06,33.01,32.99,33.15,33.14,33.07,1.02873,0.09360,0.38183,-0.09940,-0.25813,0.25813,0,0,0,642,,,
50Vs0.5,Yeast,sp|P31539,24%,17%,22%,16%,19%,0,0,0,0,0,14,11,15,11,13,102039.6, Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP104 PE=1 SV=2,1.83E+10,1.75E+10,1.81E+10,1.65E+10,1.33E+10,1.31E+10,34.09,34.02,34.08,33.95,33.63,33.60,1.02806,0.09374,0.38183,0.33807,0.21228,0.21228,0,0,0,643,,,
50Vs5,Yeast,sp|P38426,2%,3%,2%,2%,3%,0,0,0,0,0,1,2,2,2,2,118837.5, Trehalose synthase complex regulatory subunit TPS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPS3 PE=1 SV=3,4.18E+08,4.32E+08,4.25E+08,3.20E+08,3.43E+08,2.32E+08,28.64,28.69,28.66,28.25,28.36,27.79,1.02805,0.09375,0.38124,0.53110,0.36224,0.36224,0,0,0,644,,,
50Vs5,Yeast,sp|P39730,5%,4%,6%,3%,5%,0,0,0,0,0,4,3,4,3,4,112271.5, Eukaryotic translation initiation factor 5B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN12 PE=1 SV=2,1.89E+09,1.64E+09,1.84E+09,1.58E+09,1.57E+09,1.54E+09,30.82,30.61,30.78,30.56,30.55,30.52,1.02731,0.09391,0.38130,0.19430,0.03085,0.03085,0,0,0,645,,,
50Vs5,Yeast,sp|P07259,19%,21%,20%,21%,22%,0,0,0,0,0,34,35,34,36,38,245044.8, Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5,4.69E+10,3.95E+10,4.11E+10,3.62E+10,3.68E+10,3.50E+10,35.45,35.20,35.26,35.08,35.10,35.03,1.02708,0.09396,0.38091,0.23567,0.07155,0.07155,0,0,0,646,,,
50Vs5,Yeast,sp|P38216,14%,0%,0%,0%,0%,0,0,0,0,0,1,0,0,0,0,14615.9, Uncharacterized protein YBR016W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR016W PE=1 SV=1,1.61E+07,1.65E+07,1.58E+07,1.81E+05,4.82E+06,8.77E+05,23.94,23.98,23.91,17.46,22.20,19.74,1.02675,0.09403,0.38061,4.14020,3.91336,3.91336,0,0,0,647,,,
25Vs12.5,Yeast,"sp|A6ZPY2,sp|P47089",9%,9%,9%,9%,0%,0,0,0,0,0,1,1,1,1,0,22495.7, Translation machinery-associated protein 22 OS=Saccharomyces cerevisiae (strain YJM789) GN=TMA22 PE=3 SV=1,1.07E+08,1.44E+08,1.18E+08,9.84E+07,8.67E+07,8.95E+07,26.67,27.10,26.81,26.55,26.37,26.42,1.02592,0.09421,0.38075,0.41440,0.43960,0.43960,0,0,0,648,,,
50Vs5,Yeast,sp|P17967,16%,16%,16%,16%,19%,0,0,0,0,0,7,7,7,7,8,58228.2, Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDI1 PE=1 SV=2,2.73E+09,2.81E+09,2.76E+09,2.37E+09,2.65E+09,2.37E+09,31.35,31.39,31.36,31.14,31.31,31.14,1.02572,0.09425,0.38034,0.16887,0.00582,0.00582,0,0,0,649,,,
50Vs0.5,Yeast,sp|P25491,5%,2%,5%,4%,7%,0,0,0,0,0,2,1,2,1,2,44671.7, Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDJ1 PE=1 SV=1,1.33E+09,1.38E+09,1.32E+09,9.35E+08,1.16E+09,1.15E+09,30.30,30.37,30.29,29.80,30.11,30.10,1.02360,0.09471,0.38161,0.31603,0.19210,0.19210,0,0,0,650,,,
50Vs5,Yeast,sp|P16862,18%,17%,17%,15%,17%,0,0,0,0,0,10,10,10,9,10,104619.8, 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK2 PE=1 SV=4,7.14E+09,7.69E+09,6.74E+09,6.25E+09,6.47E+09,5.76E+09,32.73,32.84,32.65,32.54,32.59,32.42,1.02293,0.09486,0.38161,0.22227,0.05837,0.05837,0,0,0,651,,,
50Vs0.5,Yeast,sp|P40069,10%,11%,7%,7%,6%,0,0,0,0,0,6,7,5,5,4,122605.7, Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP123 PE=1 SV=1,2.41E+09,2.24E+09,2.53E+09,1.81E+09,2.08E+09,2.11E+09,31.17,31.06,31.24,30.75,30.95,30.98,1.02282,0.09488,0.38113,0.26147,0.14211,0.14211,0,0,0,652,,,
25Vs12.5,Yeast,sp|P32891,0%,0%,0%,3%,0%,0,0,0,0,0,0,0,0,1,0,65294.1," D-lactate dehydrogenase [cytochrome] 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD1 PE=1 SV=2",1.36E+08,1.30E+08,1.00E+08,7.77E+07,8.44E+07,9.67E+07,27.02,26.95,26.58,26.21,26.33,26.53,1.02216,0.09503,0.38112,0.49573,0.59222,0.59222,0,0,0,653,,,
50Vs0.5,Yeast,sp|P02406,16%,16%,19%,21%,23%,0,0,0,0,0,2,2,2,3,3,16721.9, 60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL28 PE=1 SV=3,7.57E+09,7.44E+09,6.94E+09,6.64E+09,6.73E+09,6.83E+09,32.82,32.79,32.69,32.63,32.65,32.67,1.02085,0.09531,0.38169,0.12030,0.01279,0.01279,0,0,0,654,,,
25Vs12.5,Yeast,sp|P48510,0%,2%,2%,0%,0%,0,0,0,0,0,0,1,1,0,0,39346.3, Ubiquitin domain-containing protein DSK2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DSK2 PE=1 SV=2,2.05E+08,1.96E+08,1.59E+08,1.46E+08,1.51E+08,1.32E+08,27.61,27.55,27.25,27.13,27.17,26.97,1.01713,0.09613,0.38438,0.37933,0.37379,0.37379,0,0,0,655,,,
50Vs0.5,Yeast,"sp|O13559,sp|P0CX14,sp|P0CX15,sp|P0CX20,sp|P0CX21,sp|P0CX22,sp|P40105,sp|P40434,sp|P40889,sp|P53819,sp|Q03099,sp|Q07888,sp|Q08995,sp|Q3E7X8,sp|Q99208",0%,0%,0%,0%,1%,0,0,0,0,0,0,0,0,0,1,211102.9, Y' element ATP-dependent helicase protein 1 copy 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRF1-4 PE=2 SV=1,6.30E+08,5.91E+08,5.16E+08,4.99E+08,4.61E+08,4.23E+08,29.23,29.14,28.94,28.89,28.78,28.65,1.01675,0.09622,0.38413,0.32740,0.20251,0.20251,0,0,0,656,,,
25Vs12.5,Yeast,sp|P34227,18%,13%,15%,12%,13%,0,0,0,0,0,4,3,3,2,3,29496.7, Mitochondrial peroxiredoxin PRX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRX1 PE=1 SV=1,1.69E+09,1.89E+09,1.88E+09,1.52E+09,1.52E+09,1.67E+09,30.65,30.81,30.81,30.50,30.51,30.64,1.01570,0.09645,0.38448,0.20820,0.05264,0.05264,0,0,0,657,,,
50Vs5,Yeast,sp|P32377,21%,22%,24%,18%,18%,0,0,0,0,0,5,5,5,4,4,44116.9, Diphosphomevalonate decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MVD1 PE=1 SV=2,6.08E+09,5.78E+09,5.46E+09,5.27E+09,5.30E+09,5.03E+09,32.50,32.43,32.35,32.29,32.30,32.23,1.01499,0.09661,0.38452,0.15050,-0.01225,0.01225,0,0,0,658,,,
25Vs12.5,Yeast,sp|P53839,25%,22%,20%,17%,16%,0,0,0,0,0,6,5,5,4,4,38831.5, Glyoxylate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GOR1 PE=1 SV=1,2.34E+09,2.86E+09,2.39E+09,2.12E+09,2.08E+09,2.03E+09,31.13,31.42,31.16,30.98,30.96,30.92,1.01362,0.09691,0.38515,0.27997,0.18732,0.18732,0,0,0,659,,,
50Vs0.5,Yeast,sp|P05759,36%,43%,43%,43%,40%,3,3,4,3,3,1,2,1,2,2,17216.6, Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3,3.26E+10,3.05E+10,2.97E+10,2.43E+10,1.29E+10,1.81E+10,34.93,34.83,34.79,34.50,33.59,34.07,1.01215,0.09724,0.38587,0.79090,0.62710,0.62710,0,0,0,660,,,
50Vs0.5,Yeast,sp|P54839,25%,25%,19%,21%,21%,0,0,0,0,0,7,8,6,6,6,55015.2, Hydroxymethylglutaryl-CoA synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG13 PE=1 SV=1,9.43E+09,8.18E+09,8.98E+09,1.04E+10,1.02E+10,9.77E+09,33.13,32.93,33.06,33.28,33.25,33.19,1.01212,0.09725,0.38531,-0.19693,-0.27781,0.27781,0,0,0,661,,,
50Vs5,Yeast,sp|P15625,15%,13%,16%,12%,16%,0,0,0,0,0,5,4,5,4,6,57514.0, Phenylalanine--tRNA ligase alpha subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRS2 PE=1 SV=3,2.08E+09,1.85E+09,1.95E+09,1.76E+09,1.77E+09,1.64E+09,30.96,30.78,30.86,30.71,30.72,30.61,1.01188,0.09730,0.38494,0.18393,0.02065,0.02065,0,0,0,662,,,
25Vs12.5,Yeast,sp|Q04341,21%,26%,21%,21%,0%,0,0,0,0,0,1,2,1,1,0,13866.4, Mitochondrial intermembrane space cysteine motif-containing protein MIC14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIC14 PE=1 SV=1,2.54E+08,1.88E+08,2.24E+08,2.75E+08,2.98E+08,2.91E+08,27.92,27.49,27.74,28.04,28.15,28.12,1.00960,0.09781,0.38580,-0.38523,-1.06100,1.06100,0,0,0,664,,,
50Vs5,Yeast,sp|P38836,0%,0%,0%,0%,3%,0,0,0,0,0,0,0,0,0,1,49831.1, Putative metallocarboxypeptidase ECM14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM14 PE=1 SV=1,9.31E+07,9.84E+07,1.28E+08,1.80E+07,3.69E+07,6.32E+07,26.47,26.55,26.93,24.10,25.14,25.91,1.00669,0.09847,0.38781,1.60230,1.41623,1.41623,0,0,0,665,,,
50Vs5,Yeast,sp|Q02725,2%,2%,2%,2%,2%,0,0,0,0,0,1,1,1,1,1,96558.3, Vacuolar transporter chaperone 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC3 PE=1 SV=1,4.27E+08,4.82E+08,4.56E+08,1.96E+08,3.71E+08,2.10E+08,28.67,28.84,28.76,27.55,28.47,27.64,1.00618,0.09859,0.38769,0.87320,0.69884,0.69884,0,0,0,666,,,
50Vs0.5,Yeast,sp|P41939,22%,21%,18%,21%,17%,1,2,2,1,1,5,5,4,5,4,46563.8, Isocitrate dehydrogenase [NADP] cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDP2 PE=1 SV=2,5.62E+09,4.75E+09,5.19E+09,3.98E+09,3.49E+09,4.53E+09,32.39,32.15,32.27,31.89,31.70,32.08,1.00567,0.09870,0.38756,0.38060,0.25125,0.25125,0,0,0,667,,,
50Vs5,Yeast,sp|Q12233,10%,0%,10%,0%,0%,0,0,0,0,0,1,0,1,0,0,12921.9," ATP synthase subunit g, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP20 PE=1 SV=1",9.15E+07,1.12E+08,1.18E+08,8.85E+07,8.14E+07,8.09E+07,26.45,26.74,26.82,26.40,26.28,26.27,1.00542,0.09876,0.38720,0.35233,0.18634,0.18634,0,0,0,668,,,
50Vs0.5,Yeast,sp|P16451,4%,4%,4%,4%,4%,0,0,0,0,0,1,1,1,1,1,45363.8," Pyruvate dehydrogenase complex protein X component, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDX1 PE=1 SV=1",6.78E+07,7.57E+07,7.07E+07,6.60E+07,6.39E+07,6.34E+07,26.01,26.17,26.07,25.98,25.93,25.92,1.00428,0.09902,0.38764,0.14600,0.03634,0.03634,0,0,0,669,,,
50Vs5,Yeast,sp|P07274,35%,26%,30%,40%,40%,0,0,0,0,0,3,3,3,4,4,13677.4, Profilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFY1 PE=1 SV=2,3.34E+09,3.41E+09,3.88E+09,1.86E+09,2.74E+09,2.67E+09,31.64,31.67,31.85,30.80,31.35,31.31,1.00394,0.09910,0.38737,0.56410,0.39471,0.39471,0,0,0,670,,,
50Vs5,Yeast,sp|P32860,0%,0%,0%,0%,4%,0,0,0,0,0,0,0,0,0,1,29175.5," NifU-like protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFU1 PE=1 SV=2",3.33E+07,4.00E+07,3.81E+07,3.15E+07,2.49E+07,2.95E+07,24.99,25.25,25.18,24.91,24.57,24.81,1.00155,0.09964,0.38892,0.37790,0.21150,0.21150,0,0,0,671,,,
50Vs0.5,Yeast,sp|P40991,0%,0%,4%,0%,0%,0,0,0,0,0,0,0,2,0,0,69814.3, Putative ribosomal RNA methyltransferase Nop2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP2 PE=1 SV=1,6.12E+07,8.37E+07,1.23E+08,4.05E+07,3.73E+07,5.46E+07,25.87,26.32,26.88,25.27,25.15,25.70,0.99764,0.10054,0.39127,0.97753,0.79807,0.79807,0,0,0,673,,,
